configLine, inputFile, /home/rafael/Documents/Robotics Documentation/VisionTesting/Gate/gate3.avi, entity, pathBase, visObj, path, 
frame, time, found, orientation, centerPointX, centerPointY
1, 0.0196471214294, False, 0.0, 0, 0
2, 0.0202939510345, False, 0.0, 0, 0
3, 0.0172009468079, False, 0.0, 0, 0
4, 0.0161910057068, False, 0.0, 0, 0
5, 0.0145909786224, False, 0.0, 0, 0
6, 0.0130839347839, False, 0.0, 0, 0
7, 0.0131649971008, False, 0.0, 0, 0
8, 0.0127329826355, False, 0.0, 0, 0
9, 0.0151669979095, False, 0.0, 0, 0
10, 0.0126941204071, False, 0.0, 0, 0
11, 0.0123851299286, False, 0.0, 0, 0
12, 0.0122938156128, False, 0.0, 0, 0
13, 0.0125257968903, False, 0.0, 0, 0
14, 0.0123891830444, False, 0.0, 0, 0
15, 0.0121459960938, False, 0.0, 0, 0
16, 0.0126171112061, False, 0.0, 0, 0
17, 0.0122909545898, False, 0.0, 0, 0
18, 0.0122821331024, False, 0.0, 0, 0
19, 0.0124311447144, False, 0.0, 0, 0
20, 0.0129628181458, False, 0.0, 0, 0
21, 0.0125939846039, False, 0.0, 0, 0
22, 0.0123889446259, False, 0.0, 0, 0
23, 0.014906167984, False, 0.0, 0, 0
24, 0.0124750137329, False, 0.0, 0, 0
25, 0.0131340026855, False, 0.0, 0, 0
26, 0.0123460292816, False, 0.0, 0, 0
27, 0.0129070281982, False, 0.0, 0, 0
28, 0.0121140480042, False, 0.0, 0, 0
29, 0.0121099948883, False, 0.0, 0, 0
30, 0.0140910148621, False, 0.0, 0, 0
31, 0.0157301425934, False, 0.0, 0, 0
32, 0.0134170055389, False, 0.0, 0, 0
33, 0.0156059265137, False, 0.0, 0, 0
34, 0.012256860733, False, 0.0, 0, 0
35, 0.0122258663177, False, 0.0, 0, 0
36, 0.0125839710236, False, 0.0, 0, 0
37, 0.0123279094696, False, 0.0, 0, 0
38, 0.0121078491211, False, 0.0, 0, 0
39, 0.0122439861298, False, 0.0, 0, 0
40, 0.012521982193, False, 0.0, 0, 0
41, 0.013179063797, False, 0.0, 0, 0
42, 0.0131070613861, False, 0.0, 0, 0
43, 0.0131540298462, False, 0.0, 0, 0
44, 0.0121150016785, False, 0.0, 0, 0
45, 0.0119919776917, False, 0.0, 0, 0
46, 0.0122880935669, False, 0.0, 0, 0
47, 0.0124809741974, False, 0.0, 0, 0
48, 0.0126578807831, False, 0.0, 0, 0
49, 0.0127398967743, False, 0.0, 0, 0
50, 0.0124471187592, False, 0.0, 0, 0
51, 0.0124068260193, False, 0.0, 0, 0
52, 0.0122599601746, False, 0.0, 0, 0
53, 0.0135531425476, False, 0.0, 0, 0
54, 0.0126168727875, False, 0.0, 0, 0
55, 0.0125961303711, False, 0.0, 0, 0
56, 0.012442111969, False, 0.0, 0, 0
57, 0.0128269195557, False, 0.0, 0, 0
58, 0.013062953949, False, 0.0, 0, 0
59, 0.0125479698181, False, 0.0, 0, 0
60, 0.0122148990631, False, 0.0, 0, 0
61, 0.0124251842499, False, 0.0, 0, 0
62, 0.0126421451569, False, 0.0, 0, 0
63, 0.0126988887787, False, 0.0, 0, 0
64, 0.0120618343353, False, 0.0, 0, 0
65, 0.0121779441833, False, 0.0, 0, 0
66, 0.0131950378418, False, 0.0, 0, 0
67, 0.0124781131744, False, 0.0, 0, 0
68, 0.0123851299286, False, 0.0, 0, 0
69, 0.0120649337769, False, 0.0, 0, 0
70, 0.0132961273193, False, 0.0, 0, 0
71, 0.0129640102386, False, 0.0, 0, 0
72, 0.0124890804291, False, 0.0, 0, 0
73, 0.0124008655548, False, 0.0, 0, 0
74, 0.0130019187927, False, 0.0, 0, 0
75, 0.0127491950989, False, 0.0, 0, 0
76, 0.0128901004791, False, 0.0, 0, 0
77, 0.013158082962, False, 0.0, 0, 0
78, 0.0121479034424, False, 0.0, 0, 0
79, 0.013463973999, False, 0.0, 0, 0
80, 0.0126738548279, False, 0.0, 0, 0
81, 0.0123250484467, False, 0.0, 0, 0
82, 0.0128409862518, False, 0.0, 0, 0
83, 0.0150060653687, False, 0.0, 0, 0
84, 0.0125300884247, False, 0.0, 0, 0
85, 0.0129611492157, False, 0.0, 0, 0
86, 0.0127880573273, False, 0.0, 0, 0
87, 0.0133171081543, False, 0.0, 0, 0
88, 0.0128741264343, False, 0.0, 0, 0
89, 0.0134880542755, False, 0.0, 0, 0
90, 0.0127520561218, False, 0.0, 0, 0
91, 0.0123929977417, False, 0.0, 0, 0
92, 0.0121200084686, False, 0.0, 0, 0
93, 0.0123491287231, False, 0.0, 0, 0
94, 0.0132298469543, False, 0.0, 0, 0
95, 0.0124249458313, False, 0.0, 0, 0
96, 0.0120489597321, False, 0.0, 0, 0
97, 0.0120759010315, False, 0.0, 0, 0
98, 0.0135748386383, False, 0.0, 0, 0
99, 0.0124399662018, False, 0.0, 0, 0
100, 0.0124890804291, False, 0.0, 0, 0
101, 0.0125789642334, False, 0.0, 0, 0
102, 0.0126440525055, False, 0.0, 0, 0
103, 0.0150539875031, False, 0.0, 0, 0
104, 0.0123419761658, False, 0.0, 0, 0
105, 0.0139780044556, False, 0.0, 0, 0
106, 0.0121688842773, False, 0.0, 0, 0
107, 0.0120580196381, False, 0.0, 0, 0
108, 0.0122499465942, False, 0.0, 0, 0
109, 0.0133078098297, False, 0.0, 0, 0
110, 0.0121939182281, False, 0.0, 0, 0
111, 0.0121448040009, False, 0.0, 0, 0
112, 0.0125341415405, False, 0.0, 0, 0
113, 0.0126919746399, False, 0.0, 0, 0
114, 0.0125150680542, False, 0.0, 0, 0
115, 0.0122990608215, False, 0.0, 0, 0
116, 0.0126099586487, False, 0.0, 0, 0
117, 0.0125029087067, False, 0.0, 0, 0
118, 0.0128469467163, False, 0.0, 0, 0
119, 0.0125858783722, False, 0.0, 0, 0
120, 0.0133459568024, False, 0.0, 0, 0
121, 0.0123460292816, False, 0.0, 0, 0
122, 0.0128259658813, False, 0.0, 0, 0
123, 0.0180361270905, False, 0.0, 0, 0
124, 0.0121190547943, False, 0.0, 0, 0
125, 0.0126750469208, False, 0.0, 0, 0
126, 0.0121049880981, False, 0.0, 0, 0
127, 0.0121150016785, False, 0.0, 0, 0
128, 0.0129928588867, False, 0.0, 0, 0
129, 0.011871099472, False, 0.0, 0, 0
130, 0.0120429992676, False, 0.0, 0, 0
131, 0.0128331184387, False, 0.0, 0, 0
132, 0.0131449699402, False, 0.0, 0, 0
133, 0.0123028755188, False, 0.0, 0, 0
134, 0.0120730400085, False, 0.0, 0, 0
135, 0.0122258663177, False, 0.0, 0, 0
136, 0.0123338699341, False, 0.0, 0, 0
137, 0.012955904007, False, 0.0, 0, 0
138, 0.0129730701447, False, 0.0, 0, 0
139, 0.0123391151428, False, 0.0, 0, 0
140, 0.0129899978638, False, 0.0, 0, 0
141, 0.0129680633545, False, 0.0, 0, 0
142, 0.0131168365479, False, 0.0, 0, 0
143, 0.0122640132904, False, 0.0, 0, 0
144, 0.0123209953308, False, 0.0, 0, 0
145, 0.0126810073853, False, 0.0, 0, 0
146, 0.0128118991852, False, 0.0, 0, 0
147, 0.0125110149384, False, 0.0, 0, 0
148, 0.0123989582062, False, 0.0, 0, 0
149, 0.0129489898682, False, 0.0, 0, 0
150, 0.0131759643555, False, 0.0, 0, 0
151, 0.0123128890991, False, 0.0, 0, 0
152, 0.0124261379242, False, 0.0, 0, 0
153, 0.012895822525, False, 0.0, 0, 0
154, 0.0119571685791, False, 0.0, 0, 0
155, 0.0126521587372, False, 0.0, 0, 0
156, 0.0132398605347, False, 0.0, 0, 0
157, 0.012195110321, False, 0.0, 0, 0
158, 0.0120820999146, False, 0.0, 0, 0
159, 0.0122761726379, False, 0.0, 0, 0
160, 0.0127019882202, False, 0.0, 0, 0
161, 0.0129029750824, False, 0.0, 0, 0
162, 0.0127341747284, False, 0.0, 0, 0
163, 0.013277053833, False, 0.0, 0, 0
164, 0.0122139453888, False, 0.0, 0, 0
165, 0.0119721889496, False, 0.0, 0, 0
166, 0.0125398635864, False, 0.0, 0, 0
167, 0.0126450061798, False, 0.0, 0, 0
168, 0.0125200748444, False, 0.0, 0, 0
