0,0
1,18601
2,24996
3,38448
4,47921
5,47446
6,37736
7,29039
8,23605
9,19927
10,16450
11,14539
12,13736
13,13888
14,14138
15,13787
16,13299
17,12286
18,11449
19,10812
20,10215
21,10139
22,9660
23,9699
24,9759
25,9703
26,9911
27,10009
28,9822
29,9695
30,9497
31,9097
32,8815
33,8371
34,7815
35,7227
36,7002
37,6331
38,5896
39,5254
40,4874
41,4576
42,4108
43,3856
44,3615
45,3317
46,3081
47,2852
48,2734
49,2624
50,2370
51,2239
52,2028
53,1858
54,1779
55,1569
56,1336
57,1221
58,1115
59,1003
60,842
61,823
62,693
63,623
64,509
65,461
66,434
67,346
68,323
69,280
70,269
71,264
72,204
73,189
74,185
75,170
76,160
77,129
78,115
79,136
80,117
81,108
82,85
83,99
84,76
85,85
86,88
87,58
88,66
89,48
90,68
91,63
92,49
93,59
94,47
95,28
96,44
97,42
98,30
99,27
100,32
101,30
102,29
103,36
104,32
105,34
106,23
107,39
108,27
109,27
110,12
111,21
112,29
113,15
114,17
115,21
116,19
117,14
118,13
119,14
120,12
121,12
122,13
123,6
124,9
125,11
126,15
127,5
128,6
129,3
130,6
131,6
132,6
133,3
134,5
135,1
136,8
137,3
138,11
139,5
140,3
141,4
142,6
143,1
144,2
145,1
146,2
147,2
148,3
149,3
150,3
151,4
152,3
153,2
154,3
155,4
156,4
157,1
158,2
159,0
160,3
161,1
162,0
163,1
164,0
165,2
166,1
167,1
168,0
169,0
170,0
171,2
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,2
190,0
191,2
192,0
193,0
194,2
195,0
196,1
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,1
231,2
232,0
233,0
234,0
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,1
254,0
255,3
